SFS :
allele count	avg# mutations	standard dev	coeff of variation (aka relative standard deviation)
747	3.42035e-05	3.32324e-06	0.0971608
748	3.40987e-05	3.30426e-06	0.0969029
749	3.39953e-05	3.28161e-06	0.0965312
750	3.38915e-05	3.25533e-06	0.0960515
751	3.37876e-05	3.22572e-06	0.0954705
752	3.3684e-05	3.19308e-06	0.094795
753	3.35791e-05	3.15753e-06	0.0940326
754	3.34753e-05	3.1196e-06	0.0931911
755	3.33709e-05	3.07946e-06	0.0922798
756	3.32663e-05	3.03751e-06	0.091309
757	3.316e-05	2.99405e-06	0.090291
758	3.30526e-05	2.94967e-06	0.0892419
759	3.29464e-05	2.90519e-06	0.0881794
760	3.2838e-05	2.86099e-06	0.0871244
761	3.273e-05	2.8181e-06	0.0861015
762	3.26208e-05	2.77727e-06	0.0851379
763	3.25132e-05	2.73964e-06	0.0842624
764	3.24036e-05	2.70586e-06	0.083505
765	3.22947e-05	2.67705e-06	0.0828944
766	3.2185e-05	2.6539e-06	0.0824578
767	3.20751e-05	2.63712e-06	0.082217
768	3.19657e-05	2.62722e-06	0.0821886
769	3.18573e-05	2.62444e-06	0.0823812
770	3.17484e-05	2.62863e-06	0.0827955
771	3.16397e-05	2.63948e-06	0.083423
772	3.15317e-05	2.65648e-06	0.0842481
773	3.14229e-05	2.67877e-06	0.0852491
774	3.131e-05	2.70515e-06	0.0863986
775	3.12014e-05	2.73535e-06	0.0876677
776	3.10916e-05	2.76792e-06	0.0890248
777	3.09831e-05	2.80214e-06	0.0904407
778	3.08746e-05	2.83705e-06	0.0918893
779	3.07648e-05	2.87177e-06	0.0933462
780	3.06559e-05	2.90597e-06	0.0947932
781	3.05468e-05	2.9391e-06	0.0962162
782	3.04362e-05	2.97074e-06	0.0976057
783	3.03265e-05	3.00095e-06	0.0989547
784	3.02165e-05	3.02955e-06	0.100261
785	3.0107e-05	3.05657e-06	0.101524
786	2.99967e-05	3.08193e-06	0.102742
787	2.98864e-05	3.10565e-06	0.103915
788	2.97768e-05	3.12778e-06	0.105041
789	2.96686e-05	3.14827e-06	0.106114
790	2.95607e-05	3.1668e-06	0.107129
791	2.9453e-05	3.18311e-06	0.108074
792	2.9346e-05	3.19687e-06	0.108937
793	2.92398e-05	3.20768e-06	0.109702
794	2.91348e-05	3.21518e-06	0.110355
795	2.90309e-05	3.21895e-06	0.11088
796	2.89277e-05	3.21859e-06	0.111263
797	2.8825e-05	3.21384e-06	0.111495
798	2.87224e-05	3.20449e-06	0.111568
799	2.86214e-05	3.19077e-06	0.111482
800	2.85206e-05	3.17272e-06	0.111243
801	2.84196e-05	3.15074e-06	0.110865
802	2.83189e-05	3.1254e-06	0.110365
803	2.82181e-05	3.09742e-06	0.109767
804	2.81167e-05	3.06766e-06	0.109105
805	2.80152e-05	3.03707e-06	0.108408
806	2.79124e-05	3.00657e-06	0.107714
807	2.78087e-05	2.97719e-06	0.107059
808	2.77039e-05	2.94982e-06	0.106477
809	2.75977e-05	2.92524e-06	0.105996
810	2.74898e-05	2.90413e-06	0.105644
811	2.7381e-05	2.88701e-06	0.105438
812	2.72702e-05	2.8741e-06	0.105393
813	2.71584e-05	2.86561e-06	0.105515
814	2.70455e-05	2.86152e-06	0.105804
815	2.69316e-05	2.86165e-06	0.106256
816	2.68168e-05	2.86578e-06	0.106865
817	2.67011e-05	2.87358e-06	0.10762
818	2.65857e-05	2.88481e-06	0.10851
819	2.64698e-05	2.89901e-06	0.109521
820	2.63537e-05	2.91579e-06	0.11064
821	2.62384e-05	2.93484e-06	0.111853
822	2.61231e-05	2.95568e-06	0.113144
823	2.60089e-05	2.97795e-06	0.114497
824	2.58959e-05	3.00121e-06	0.115895
825	2.57833e-05	3.02487e-06	0.117319
826	2.5672e-05	3.04851e-06	0.118749
827	2.5562e-05	3.07164e-06	0.120164
828	2.54524e-05	3.09367e-06	0.121547
829	2.53441e-05	3.11428e-06	0.12288
830	2.5236e-05	3.13296e-06	0.124146
831	2.51291e-05	3.14956e-06	0.125335
832	2.50222e-05	3.16382e-06	0.12644
833	2.49163e-05	3.17581e-06	0.127459
834	2.48127e-05	3.18582e-06	0.128395
835	2.47069e-05	3.19351e-06	0.129256
836	2.46012e-05	3.19951e-06	0.130055
837	2.44957e-05	3.20427e-06	0.130809
838	2.439e-05	3.20812e-06	0.131534
839	2.42849e-05	3.21166e-06	0.132249
840	2.41801e-05	3.2152e-06	0.132969
841	2.40759e-05	3.21911e-06	0.133707
842	2.39729e-05	3.22362e-06	0.134469
843	2.38715e-05	3.2288e-06	0.135258
844	2.37716e-05	3.23455e-06	0.136068
845	2.36737e-05	3.24066e-06	0.136889
846	2.35778e-05	3.24671e-06	0.137702
847	2.34858e-05	3.25248e-06	0.138487
848	2.3397e-05	3.2573e-06	0.139219
849	2.33119e-05	3.26068e-06	0.139872
850	2.3231e-05	3.26215e-06	0.140423
851	2.31541e-05	3.26122e-06	0.140849
852	2.30817e-05	3.2576e-06	0.141134
853	2.30134e-05	3.25104e-06	0.141268
854	2.29495e-05	3.24155e-06	0.141247
855	2.28898e-05	3.2292e-06	0.141076
856	2.28342e-05	3.21437e-06	0.14077
857	2.27832e-05	3.19752e-06	0.140346
858	2.2736e-05	3.17923e-06	0.139833
859	2.26921e-05	3.16012e-06	0.139261
860	2.26516e-05	3.141e-06	0.138666
861	2.26144e-05	3.12272e-06	0.138085
862	2.25792e-05	3.1059e-06	0.137556
863	2.25466e-05	3.09141e-06	0.137112
864	2.25153e-05	3.07976e-06	0.136785
865	2.24851e-05	3.07159e-06	0.136605
866	2.24552e-05	3.06729e-06	0.136596
867	2.24249e-05	3.06723e-06	0.136778
868	2.2394e-05	3.07173e-06	0.137168
869	2.23617e-05	3.08104e-06	0.137782
870	2.23267e-05	3.09523e-06	0.138634
871	2.22894e-05	3.11459e-06	0.139734
872	2.22485e-05	3.13911e-06	0.141093
873	2.2204e-05	3.16898e-06	0.142721
874	2.21546e-05	3.20405e-06	0.144622
875	2.21007e-05	3.24433e-06	0.146798
876	2.2041e-05	3.28949e-06	0.149244
877	2.19761e-05	3.33927e-06	0.15195
878	2.19051e-05	3.39303e-06	0.154897
879	2.18281e-05	3.45005e-06	0.158056
880	2.17458e-05	3.50956e-06	0.16139
881	2.1658e-05	3.57039e-06	0.164853
882	2.1565e-05	3.63135e-06	0.168391
883	2.14667e-05	3.69102e-06	0.171941
884	2.13645e-05	3.74811e-06	0.175437
885	2.12583e-05	3.80107e-06	0.178804
886	2.1149e-05	3.84849e-06	0.181971
887	2.10367e-05	3.88886e-06	0.184861
888	2.09225e-05	3.92097e-06	0.187405
889	2.08064e-05	3.94367e-06	0.189541
890	2.06893e-05	3.95617e-06	0.191218
891	2.05717e-05	3.95799e-06	0.1924
892	2.04541e-05	3.94917e-06	0.193074
893	2.0337e-05	3.93014e-06	0.193251
894	2.02199e-05	3.90178e-06	0.192967
895	2.01049e-05	3.86596e-06	0.19229
896	1.99915e-05	3.82463e-06	0.191313
897	1.98799e-05	3.78017e-06	0.19015
898	1.977e-05	3.73512e-06	0.188929
899	1.96625e-05	3.6922e-06	0.187779
900	1.95578e-05	3.65368e-06	0.186814
901	1.94564e-05	3.62127e-06	0.186122
902	1.93588e-05	3.59586e-06	0.185748
903	1.92649e-05	3.57729e-06	0.18569
904	1.91754e-05	3.56456e-06	0.185892
905	1.90911e-05	3.55586e-06	0.186258
906	1.90121e-05	3.54869e-06	0.186654
907	1.89394e-05	3.54042e-06	0.186934
908	1.88733e-05	3.52839e-06	0.186951
909	1.88142e-05	3.51031e-06	0.186578
910	1.87629e-05	3.48463e-06	0.18572
911	1.87197e-05	3.45057e-06	0.184328
912	1.8685e-05	3.40825e-06	0.182406
913	1.86589e-05	3.35879e-06	0.18001
914	1.86413e-05	3.30424e-06	0.177254
915	1.86316e-05	3.24737e-06	0.174294
916	1.863e-05	3.19177e-06	0.171325
917	1.86354e-05	3.14113e-06	0.168557
918	1.86467e-05	3.09909e-06	0.166201
919	1.86629e-05	3.06895e-06	0.164441
920	1.86827e-05	3.05308e-06	0.163417
921	1.87049e-05	3.05283e-06	0.163211
922	1.87272e-05	3.06822e-06	0.163837
923	1.87482e-05	3.09823e-06	0.165255
924	1.87662e-05	3.14098e-06	0.167375
925	1.87798e-05	3.19409e-06	0.170081
926	1.87874e-05	3.25484e-06	0.173246
927	1.87881e-05	3.32063e-06	0.176741
928	1.87807e-05	3.38889e-06	0.180445
929	1.87647e-05	3.45722e-06	0.184241
930	1.87388e-05	3.52324e-06	0.188019
931	1.87043e-05	3.58511e-06	0.191673
932	1.8661e-05	3.64074e-06	0.195099
933	1.86095e-05	3.68842e-06	0.198201
934	1.85505e-05	3.72668e-06	0.200894
935	1.84851e-05	3.7546e-06	0.203114
936	1.84144e-05	3.77182e-06	0.204829
937	1.83399e-05	3.77878e-06	0.206041
938	1.82628e-05	3.77658e-06	0.20679
939	1.81844e-05	3.76692e-06	0.207151
940	1.81058e-05	3.75182e-06	0.207216
941	1.80285e-05	3.73333e-06	0.20708
942	1.79531e-05	3.71297e-06	0.206815
943	1.78814e-05	3.69174e-06	0.206457
944	1.78139e-05	3.66968e-06	0.206
