SFS :
allele count	avg# mutations	standard dev	coeff of variation (aka relative standard deviation)
182	0.000427809	4.4685e-06	0.0104451
183	0.000425369	4.46281e-06	0.0104916
184	0.000422938	4.44749e-06	0.0105157
185	0.00042053	4.42269e-06	0.010517
186	0.000418133	4.38874e-06	0.010496
187	0.000415749	4.34629e-06	0.0104541
188	0.000413379	4.29627e-06	0.010393
189	0.000411024	4.23995e-06	0.0103156
190	0.000408687	4.17875e-06	0.0102248
191	0.000406357	4.11415e-06	0.0101245
192	0.000404047	4.04795e-06	0.0100185
193	0.000401749	3.98186e-06	0.0099113
194	0.000399464	3.91746e-06	0.00980678
195	0.000397195	3.85638e-06	0.00970904
196	0.000394944	3.80001e-06	0.00962166
197	0.000392701	3.74946e-06	0.00954788
198	0.000390481	3.7056e-06	0.00948983
199	0.000388274	3.66893e-06	0.00944932
200	0.000386084	3.63962e-06	0.00942703
201	0.000383912	3.61767e-06	0.00942319
202	0.00038175	3.60258e-06	0.009437
203	0.000379601	3.59376e-06	0.00946719
204	0.00037748	3.59067e-06	0.00951221
205	0.000375365	3.59231e-06	0.00957018
206	0.000373261	3.59788e-06	0.00963906
207	0.00037117	3.6065e-06	0.00971657
208	0.000369097	3.61751e-06	0.00980099
209	0.000367043	3.63019e-06	0.00989038
210	0.000365001	3.64384e-06	0.00998308
211	0.000362975	3.658e-06	0.0100778
212	0.000360957	3.67206e-06	0.0101731
213	0.000358951	3.68567e-06	0.0102679
214	0.000356971	3.6986e-06	0.0103611
215	0.00035501	3.71045e-06	0.0104517
216	0.00035306	3.72085e-06	0.0105389
217	0.000351114	3.72942e-06	0.0106217
218	0.000349188	3.736e-06	0.0106991
219	0.000347274	3.74036e-06	0.0107706
220	0.000345386	3.74231e-06	0.0108352
221	0.000343496	3.74144e-06	0.0108922
222	0.000341619	3.73771e-06	0.0109412
223	0.000339768	3.73123e-06	0.0109817
224	0.000337917	3.72165e-06	0.0110135
225	0.00033608	3.70921e-06	0.0110367
226	0.00033427	3.69428e-06	0.0110518
227	0.00033246	3.67676e-06	0.0110592
228	0.000330706	3.65759e-06	0.01106
229	0.000328919	3.63627e-06	0.0110552
230	0.000327135	3.6137e-06	0.0110465
231	0.000325367	3.59059e-06	0.0110355
232	0.00032361	3.56746e-06	0.011024
233	0.000321857	3.5449e-06	0.0110139
234	0.000320123	3.52363e-06	0.0110071
235	0.000318402	3.50417e-06	0.0110055
236	0.000316688	3.48698e-06	0.0110108
237	0.000314977	3.4723e-06	0.011024
238	0.000313282	3.46063e-06	0.0110464
239	0.000311579	3.45177e-06	0.0110783
240	0.000309902	3.44604e-06	0.0111198
241	0.000308226	3.44299e-06	0.0111704
242	0.000306565	3.44236e-06	0.0112288
243	0.000304897	3.44348e-06	0.0112939
244	0.000303254	3.44599e-06	0.0113634
245	0.000301613	3.44907e-06	0.0114354
246	0.00029997	3.45183e-06	0.0115073
247	0.00029834	3.45369e-06	0.0115764
248	0.000296717	3.45382e-06	0.0116401
249	0.000295116	3.45167e-06	0.011696
250	0.000293515	3.44638e-06	0.0117417
251	0.000291928	3.43754e-06	0.0117753
252	0.000290351	3.4247e-06	0.011795
253	0.00028878	3.40756e-06	0.0117998
254	0.00028723	3.38614e-06	0.0117889
255	0.000285695	3.36041e-06	0.0117622
256	0.000284155	3.3304e-06	0.0117203
257	0.000282642	3.29677e-06	0.0116641
258	0.000281133	3.25978e-06	0.0115952
259	0.000279643	3.22025e-06	0.0115156
260	0.00027815	3.17871e-06	0.0114281
261	0.000276668	3.13614e-06	0.0113354
262	0.000275211	3.09363e-06	0.0112409
